SiblingReturnFromTomb |= 돌 원 위에 서 있었더니 문이 열렸다고?! 무덤? 그랜드마스터? 거울? 재버워크!
SiblingReturnFromTomb |= 저 숲에 뭔가 사악한 것이 있다는 걸 알았어. 어떻게 할 거야? 정말 전설이 되어 그 검을 손에 넣고 악마를 죽이려고?
SiblingReturnFromTomb |= 받아들여야 할 것이 많아. 왜 너야? 우리는 쌍둥이야. 같은 피가 흐르잖아?
SiblingReturnFromTomb |= 그 망할 페이 맞지? 뭘 약속했어?
SiblingReturnFromTomb |= 지금은 신경 쓰지마. 생각 좀 해야겠어. 전설이 되기 위한 여정을 시작해야겠지?! 내가 조사를 좀 해보고 뭔가 더 알아내면 알려줄게.
SiblingReturnFromTomb |= <PlayerName>, 몸 조심하고 또 조심해. 그리고 저 토끼에게서 떨어져!
SiblingProgress1 |= 반가워, <PlayerName>. 발전하고 있다니 기쁘다. 나도 스스로를 밀어붙여야겠다고 생각해서 무언가를 마스터하려고. 하지만 아직 뭘 해야 할지 잘 모르겠어. 어떻게 생각해? 뜨개질 마스터? 동물 돌보기 마스터? 당근 마스터? 내가 당근을 만들어서 토끼 친구에게 줄 수도 있겠네. 집토끼, 산토끼, 무슨 토끼든.
SiblingProgress1 |= 어쨌든, 나도 가야 하니까 너도 가야 해. 내가 '양배추 일품요리'를 만들고 있는데, 너를 쫓는 괴물들은 스스로 죽지 않을 거잖아!
SiblingProgress2 |= 잘했어! 진전이 있는 것 같네. 나? 오, 여전히 마스터가 되기 위해 노력 중이지. 내가 탐험을 전문으로 선택한 거 알고 있었어? 이제 시작했으니 끝을 봐야지!
SiblingProgress2 |= 그 괴물 문제를 해결했으면 좋겠어. 매일 밤 잠들 때 잠깐씩 그 존재를 느낄 수 있지만 촛불을 켜면 사라져. 그래서 지금은 밤새도록 촛불을 켜놓아. 여긴 안전하니 걱정하지마, 무서운 괴물 때문에 겁먹지 않을 테니까!
SiblingProgress3 |= 좋은 소식이 있어. 나 서클에 다녀왔어! 무슨 일이 있었는지 알게 될 거야! 맞아, 열렸어! 안에 들어갔어! 거기 정말 소름 끼쳤어. 웅덩이 옆에 서 있는데 유령 세 명이 나타나서 너한테 했던 것처럼 말을 걸었어.
SiblingProgress3 |= 거울이 수영장 밖으로 솟아올랐고, 그 안에서 내 모습을 볼 수 있었는데, 키도 더 크고 힘도 더 세진 것 같았어.
SiblingProgress3 |= 내가 탐험의 마스터가 될 자격이 있다고 하던걸. 믿을 수가 없었어! 그런데 갑자기 밝은 빛이 들어왔고 어지럽고 신경이 타는 것 같았어! 하지만 기분 좋게 탔어!
SiblingProgress3 |= 긴 이야기를 짧게 줄이자면, 나는 이제 마스터가 되었어!
SiblingProgress3 |= 고마워! 친절한 말은 정말 큰 의미가 있지. 그래, 나의 형제, 나는 아주 오랫동안 곁에 있을 거야!
SiblingProgress3 |= 내가 가진 지식을 가르쳐 주길 원한다면 기꺼이 도와주겠지만, 내 요구를 들어줘. 언제든 기꺼이 기술을 가르쳐줄게.
SiblingProgress3 |= 오, 이제 정말 힘이 솟는 것 같아! 더 높은 곳을 바라보게 해줘서 정말 고마워!
SiblingProgress4 |= 어떻게 지내? 여전히 명성을 쌓고 있지? 저번에 코퍼팟에 갔었어. 정말 대단하지?
