STORYTASK_NPCSTORY_STEP_2_DESC |= Return to {TASKGIVERNAME}에게 돌아가 과제를 완료합니다.
STORYTASK_NPCSTORY_STEP_COMPLETE_DESC |= {TASKGIVERNAME} 스토리 완료
STORYTASK_NPCSTORY_TEMPLATE_FRIENDLY |= 
STORYTASK_NPCSTORY_TEMPLATE_LIKE |= 
STORYTASK_NPCSTORY_TEMPLATE_NAME |= 
STORYTASK_NPCSTORY_TEMPLATE_DESC |= 
STORYTASK_NPCSTORY_TEMPLATE_START |= 
STORYTASK_NPCSTORY_TEMPLATE_END |= 
STORYTASK_NPCSTORY_VEG_RARNEY_FRIENDLY |= 내 오랜 친구 잭이 생각나는군. 그는 재잘거리고 교활한 성격이었지. 항상 여자들에게 눈길을 줬어. 한 번은 이 새에게 깊은 인상을 남기려고 했었어. 문제는 새처럼 날 수 없다는 거였지.
STORYTASK_NPCSTORY_VEG_RARNEY_FRIENDLY |= 팬케이크를 만들 때마다 그 녀석 생각이나.
STORYTASK_NPCSTORY_VEG_RARNEY_LIKE |= 프라일은 통통하게 자란 채소를 정말 좋아해. 안타깝게도 대부분의 거대 식물은 식용이 불가능하기 때문에 장식용으로 남겨두는 경우가 많아.
STORYTASK_NPCSTORY_VEG_RARNEY_LIKE |= 예전의 블레이크가 생각나네. 블레이크는 항상 정원에서 벌어지는 일에 신경을 곤두세웠고, 너무 큰 일에는 당황하곤 했지.
STORYTASK_NPCSTORY_VEG_RARNEY_LIKE |= 마을 소녀들과 함께 뛰어다니던 어린 시절, 우리는 종종 그 녀석과 다투고 큰 호박 안에 숨기도 했어.
STORYTASK_NPCSTORY_VEG_RARNEY_LIKE |= 거대한 순무 속에 숨어 우리를 기다리다가 갇혀 죽었어. 먹어치우고 빠져나올 수도 있었지만 순무를 좋아하지 않았어. 고집은 우리 자신의 손가락을 자르는 칼이지.
STORYTASK_NPCSTORY_VEG_RARNEY_NAME |= 채식주의자 라니를 위해 구리 낫을 얻으세요
STORYTASK_NPCSTORY_VEG_RARNEY_DESC |= 대장간에서 제작, 구매 또는 보상으로 구리 낫을 획득합니다.
